term	keep	anatomical
decision task	1	0
decisions	1	0
decline	1	0
declines	1	0
decoding	1	0
default	1	0
default mode	1	0
default network	1	0
deficient	1	0
deficit	1	0
deficit hyperactivity	1	0
deficits	1	0
delay	1	0
delayed	1	0
demand	1	0
demanding	1	0
demands	1	0
dementia	1	0
dependence	1	0
depressed	1	0
depression	1	0
depressive	1	0
depressive disorder	1	0
deprivation	1	0
depth	1	0
detect	1	0
detected	1	0
detecting	1	0
detection	1	0
detection task	1	0
development	1	0
developmental	1	0
diagnosis	1	0
difficult	1	0
difficulty	1	0
digit	1	0
dimension	1	0
dimensional	1	0
dimensions	1	0
disability	1	0
discriminate	1	0
discriminated	1	0
discrimination	1	0
discrimination task	1	0
discriminative	1	0
disease	1	0
disease ad	1	0
disease pd	1	0
diseases	1	0
disgust	1	0
disorder	1	0
disorder adhd	1	0
disorder mdd	1	0
disorder ocd	1	0
disorder ptsd	1	0
disorders	1	0
distraction	1	0
distractor	1	0
distractors	1	0
divided	1	0
dmn	1	0
domain general	1	0
dominance	1	0
dominant	1	0
dopamine	1	0
dopaminergic	1	0
drug	1	0
drugs	1	0
dyslexia	1	0
dysregulation	1	0
early visual	1	0
eating	1	0
economic	1	0
education	1	0
efficiency	1	0
effort	1	0
effortful	1	0
elderly	1	0
electrical	1	0
emotion regulation	1	0
emotional	1	0
emotional faces	1	0
emotional information	1	0
emotional responses	1	0
emotional stimuli	1	0
emotional valence	1	0
emotionally	1	0
emotions	1	0
empathic	1	0
empathy	1	0
encode	1	0
encoded	1	0
encoding	1	0
encoding retrieval	1	0
endogenous	1	0
engagement	1	0
english	1	0
epilepsy	1	0
episode	1	0
episodes	1	0
episodic	1	0
episodic memory	1	0
erp	1	0
error	1	0
errors	1	0
estimation	1	0
evaluation	1	0
evaluations	1	0
events	1	0
everyday	1	0
everyday life	1	0
executed	1	0
execution	1	0
executive	1	0
executive control	1	0
executive function	1	0
executive functions	1	0
expectancy	1	0
expectation	1	0
expectations	1	0
experience	1	0
experiences	1	0
experiencing	1	0
expertise	1	0
explicit	1	0
exploration	1	0
exploratory	1	0
expressed	1	0
expression	1	0
expressions	1	0
externally	1	0
extinction	1	0
eye	1	0
eye movement	1	0
eye movements	1	0
eyes	1	0
fa	1	0
face	1	0
face recognition	1	0
faces	1	0
facial	1	0
facial expression	1	0
facial expressions	1	0
familiar	1	0
familiarity	1	0
family	1	0
fc	1	0
fear	1	0
fearful	1	0
fearful faces	1	0
feature	1	0
features	1	0
feeling	1	0
feelings	1	0
female	1	0
females	1	0
fiber	1	0
finger	1	0
finger movements	1	0
finger tapping	1	0
fixation	1	0
flexibility	1	0
fluency	1	0
focus	1	0
food	1	0
foot	1	0
force	1	0
form	1	0
forms	1	0
frequency	1	0
functional connectivity	1	0
gain	1	0
gains	1	0
gambling	1	0
game	1	0
gamma	1	0
gaze	1	0
gender	1	0
generation	1	0
genes	1	0
german	1	0
gestures	1	0
goal	1	0
goal directed	1	0
goals	1	0
grasping	1	0
hand	1	0
hand movements	1	0
handed	1	0
handedness	1	0
hands	1	0
happy	1	0
happy faces	1	0
hc	1	0
head	1	0
health	1	0
heard	1	0
hearing	1	0
heart	1	0
heart rate	1	0
high risk	1	0
hoc	1	0
hub	1	0
hubs	1	0
human	1	0
humans	1	0
hyperactivation	1	0
hyperactivity	1	0
hyperactivity disorder	1	0
hypoactivation	1	0
identification	1	0
illness	1	0
illusion	1	0
image	1	0
imagery	1	0
images	1	0
imagine	1	0
imagined	1	0
imitation	1	0
implicit	1	0
impulsive	1	0
impulsivity	1	0
incentive	1	0
incentive delay	1	0
incongruent	1	0
inconsistent	1	0
incorrect	1	0
index finger	1	0
individual variability	1	0
induction	1	0
inference	1	0
inferences	1	0
information	1	0
inhibit	1	0
inhibition	1	0
inhibitory	1	0
inhibitory control	1	0
injury	1	0
instruction	1	0
instructions	1	0
integrate	1	0
integrated	1	0
integrating	1	0
integration	1	0
integrative	1	0
integrity	1	0
intelligence	1	0
intense	1	0
intensity	1	0
intention	1	0
intentional	1	0
intentions	1	0
interaction	1	0
interactions	1	0
interactive	1	0
interference	1	0
interoceptive	1	0
interpersonal	1	0
interval	1	0
intervals	1	0
invasive	1	0
iq	1	0
item	1	0
items	1	0
judgment	1	0
judgment task	1	0
judgments	1	0
knowledge	1	0
language	1	0
language comprehension	1	0
language network	1	0
languages	1	0
learn	1	0
learned	1	0
learning	1	0
learning task	1	0
lesion	1	0
lesions	1	0
letter	1	0
letters	1	0
lexical	1	0
lexical decision	1	0
life	1	0
light	1	0
likelihood	1	0
limb	1	0
linguistic	1	0
listened	1	0
listening	1	0
load	1	0
location	1	0
locations	1	0
locus	1	0
long term	1	0
loop	1	0
loss	1	0
losses	1	0
low level	1	0
magnetic stimulation	1	0
magnetoencephalography	1	0
magnitude	1	0
maintenance	1	0
major depression	1	0
major depressive	1	0
manipulation	1	0
manipulations	1	0
manual	1	0
mapping	1	0
maps	1	0
match	1	0
matching	1	0
matching task	1	0
mci	1	0
mdd	1	0
memories	1	0
memory	1	0
memory encoding	1	0
memory load	1	0
memory performance	1	0
memory processes	1	0
memory retrieval	1	0
memory task	1	0
memory tasks	1	0
memory test	1	0
memory wm	1	0
mental imagery	1	0
mental state	1	0
mental states	1	0
mentalizing	1	0
met	1	0
metabolic	1	0
metabolism	1	0
mg	1	0
mild cognitive	1	0
mind	1	0
mind tom	1	0
mirror	1	0
mm	1	0
mnemonic	1	0
modalities	1	0
modality	1	0
modulatory	1	0
monetary	1	0
monetary incentive	1	0
monetary reward	1	0
money	1	0
monitoring	1	0
mood	1	0
moral	1	0
morphological	1	0
morphology	1	0
motion	1	0
motivation	1	0
motivational	1	0
motor	1	0
motor control	1	0
motor function	1	0
motor imagery	1	0
motor network	1	0
motor performance	1	0
motor response	1	0
motor responses	1	0
motor task	1	0
movement	1	0
movements	1	0
ms	1	0
multiple sclerosis	1	0
multisensory	1	0
muscle	1	0
music	1	0
musical	1	0
musicians	1	0
names	1	0
naming	1	0
natural	1	0
naturalistic	1	0
nature	1	0
navigation	1	0
negative	1	0
negative affect	1	0
negative emotional	1	0
negative emotions	1	0
negative feedback	1	0
negative neutral	1	0
negative positive	1	0
negativity	1	0
network dmn	1	0
neutral	1	0
neutral faces	1	0
neutral pictures	1	0
neutral stimuli	1	0
nociceptive	1	0
nogo	1	0
noise	1	0
nouns	1	0
novel	1	0
novelty	1	0
noxious	1	0
object	1	0
object recognition	1	0
objects	1	0
obsessive	1	0
obsessive compulsive	1	0
ocd	1	0
oddball	1	0
older adults	1	0
olfactory	1	0
oral	1	0
organization	1	0
orientation	1	0
oriented	1	0
orienting	1	0
orthographic	1	0
oscillations	1	0
outcome	1	0
outcomes	1	0
pain	1	0
painful	1	0
pair	1	0
paired	1	0
pairs	1	0
parkinson	1	0
parkinson disease	1	0
passive	1	0
passive viewing	1	0
passively	1	0
pd	1	0
people	1	0
perceiving	1	0
percept	1	0
perception	1	0
perceptual	1	0
performance	1	0
performance task	1	0
person	1	0
personal	1	0
personality	1	0
personality traits	1	0
persons	1	0
pharmacological	1	0
phonological	1	0
photographs	1	0
picture	1	0
pictures	1	0
pitch	1	0
place	1	0
placebo	1	0
placebo controlled	1	0
planning	1	0
plasticity	1	0
pleasant	1	0
pointing	1	0
poor	1	0
positive negative	1	0
posttraumatic	1	0
prediction	1	0
prediction error	1	0
predictions	1	0
predictive	1	0
preference	1	0
preferences	1	0
preparation	1	0
preparatory	1	0
pressure	1	0
prime	1	0
priming	1	0
probabilistic	1	0
probability	1	0
production	1	0
progressive	1	0
prospective	1	0
pseudowords	1	0
psychosis	1	0
psychotic	1	0
ptsd	1	0
punishment	1	0
questionnaire	1	0
rating	1	0
ratings	1	0
reaching	1	0
reaction	1	0
reaction time	1	0
reaction times	1	0
reactions	1	0
reactivity	1	0
read	1	0
readers	1	0
reading	1	0
real world	1	0
reappraisal	1	0
reasoning	1	0
recall	1	0
recognition	1	0
recognition memory	1	0
recognition task	1	0
recognize	1	0
recognized	1	0
recognizing	1	0
recollection	1	0
reference	1	0
referential	1	0
referred	1	0
regulate	1	0
regulating	1	0
regulation	1	0
regulatory	1	0
rehabilitation	1	0
rehearsal	1	0
reho	1	0
reinforcement	1	0
reinforcement learning	1	0
relational	1	0
relevance	1	0
remember	1	0
remembered	1	0
remembering	1	0
reorganization	1	0
repetition	1	0
repetition suppression	1	0
response inhibition	1	0
response selection	1	0
response time	1	0
response times	1	0
rest	1	0
resting	1	0
resting state	1	0
retention	1	0
retrieval	1	0
retrieved	1	0
reversal	1	0
reward	1	0
reward anticipation	1	0
rewarding	1	0
rewards	1	0
rhythm	1	0
risk	1	0
risk taking	1	0
risky	1	0
rotation	1	0
rs	1	0
rsfc	1	0
rt	1	0
rule	1	0
rules	1	0
saccade	1	0
saccades	1	0
sad	1	0
salience	1	0
salience network	1	0
salient	1	0
schizophrenia	1	0
schizophrenic	1	0
sclerosis	1	0
selection	1	0
selective	1	0
selective attention	1	0
self referential	1	0
self report	1	0
self reported	1	0
semantic	1	0
semantic memory	1	0
semantically	1	0
semantics	1	0
sensation	1	0
sensations	1	0
sensitivity	1	0
sensory	1	0
sensory information	1	0
sentence	1	0
sentence comprehension	1	0
sentences	1	0
separation	1	0
sequence	1	0
sequences	1	0
sequential	1	0
serial	1	0
serotonin	1	0
sex	1	0
sexual	1	0
sham	1	0
shapes	1	0
shifting	1	0
shifts	1	0
short term	1	0
sighted	1	0
signal task	1	0
signaling	1	0
silent	1	0
similarity	1	0
simulation	1	0
size	1	0
sizes	1	0
skin	1	0
skin conductance	1	0
sleep	1	0
smokers	1	0
smoking	1	0
social	1	0
social cognition	1	0
social cognitive	1	0
social interaction	1	0
social interactions	1	0
socially	1	0
solving	1	0
sound	1	0
sounds	1	0
source	1	0
sources	1	0
space	1	0
spatial	1	0
spatial attention	1	0
spatial information	1	0
spatial temporal	1	0
spatially	1	0
spatiotemporal	1	0
speaker	1	0
speakers	1	0
speaking	1	0
spectrum	1	0
spectrum disorder	1	0
spectrum disorders	1	0
speech	1	0
speech perception	1	0
speech production	1	0
spoken	1	0
spontaneous	1	0
stimulation	1	0
stimulation tms	1	0
stop	1	0
stop signal	1	0
storage	1	0
strategic	1	0
strategies	1	0
strategy	1	0
stream	1	0
streams	1	0
stress	1	0
stress disorder	1	0
stroke	1	0
stroop	1	0
stroop task	1	0
subjective	1	0
subsequent	1	0
subsequent memory	1	0
substance	1	0
subtraction	1	0
success	1	0
suffering	1	0
suppressed	1	0
suppression	1	0
sustained	1	0
sustained attention	1	0
switch	1	0
switching	1	0
symbolic	1	0
symptom	1	0
symptom severity	1	0
symptoms	1	0
syntactic	1	0
tactile	1	0
tapping	1	0
target	1	0
target detection	1	0
targets	1	0
task	1	0
task demands	1	0
task difficulty	1	0
task positive	1	0
task relevant	1	0
tasks	1	0
taste	1	0
td	1	0
theory	1	0
theory mind	1	0
therapy	1	0
thinking	1	0
thought	1	0
thoughts	1	0
threatening	1	0
time task	1	0
timing	1	0
tom	1	0
tone	1	0
tools	1	0
touch	1	0
track	1	0
tracking	1	0
trait	1	0
traits	1	0
uncertain	1	0
uncertainty	1	0
unexpected	1	0
unfamiliar	1	0
unilateral	1	0
unimodal	1	0
unpleasant	1	0
updating	1	0
valence	1	0
value	1	0
values	1	0
verb	1	0
verbal	1	0
verbal fluency	1	0
verbal working	1	0
verbs	1	0
vermis	1	0
video	1	0
video clips	1	0
videos	1	0
viewing	1	0
violations	1	0
virtual	1	0
vision	1	0
visual	1	0
visual attention	1	0
visual auditory	1	0
visual field	1	0
visual information	1	0
visual motion	1	0
visual perception	1	0
visual stimuli	1	0
visual stimulus	1	0
visual stream	1	0
visual word	1	0
visually	1	0
visually presented	1	0
visuo	1	0
visuo spatial	1	0
visuomotor	1	0
visuospatial	1	0
vocal	1	0
voice	1	0
vulnerability	1	0
watching	1	0
wm	1	0
wm task	1	0
word	1	0
word form	1	0
word pairs	1	0
word recognition	1	0
words	1	0
working	1	0
working memory	1	0
written	1	0
acc	1	1
accumbens	1	1
amygdala	1	1
amygdala anterior	1	1
amygdala hippocampus	1	1
amygdala insula	1	1
amygdala response	1	1
amygdala responses	1	1
angular	1	1
angular gyrus	1	1
anterior	1	1
anterior cingulate	1	1
anterior hippocampus	1	1
anterior insula	1	1
anterior insular	1	1
anterior intraparietal	1	1
anterior medial	1	1
anterior posterior	1	1
anterior prefrontal	1	1
anterior superior	1	1
anterior temporal	1	1
auditory cortex	1	1
ba 44	1	1
basal	1	1
basal ganglia	1	1
bilaterally	1	1
brains	1	1
brainstem	1	1
broca	1	1
brodmann	1	1
callosum	1	1
caudal	1	1
caudate	1	1
caudate nucleus	1	1
cerebellar	1	1
cerebellum	1	1
cerebral	1	1
cerebral cortex	1	1
cingulate	1	1
cingulate cortex	1	1
cingulate cortices	1	1
cingulate gyrus	1	1
corpus	1	1
corpus callosum	1	1
cortex acc	1	1
cortex amygdala	1	1
cortex anterior	1	1
cortex ba	1	1
cortex bilaterally	1	1
cortex cerebellum	1	1
cortex dacc	1	1
cortex dlpfc	1	1
cortex dmpfc	1	1
cortex dorsal	1	1
cortex dorsolateral	1	1
cortex frontal	1	1
cortex hippocampus	1	1
cortex inferior	1	1
cortex insula	1	1
cortex involved	1	1
cortex lateral	1	1
cortex m1	1	1
cortex medial	1	1
cortex middle	1	1
cortex mpfc	1	1
cortex ofc	1	1
cortex parietal	1	1
cortex pcc	1	1
cortex pfc	1	1
cortex posterior	1	1
cortex ppc	1	1
cortex precuneus	1	1
cortex suggest	1	1
cortex superior	1	1
cortex supplementary	1	1
cortex thalamus	1	1
cortex ventral	1	1
cortex vlpfc	1	1
cortex vmpfc	1	1
cortical	1	1
cortices	1	1
cortico	1	1
cuneus	1	1
dacc	1	1
dlpfc	1	1
dmpfc	1	1
dorsal	1	1
dorsal anterior	1	1
dorsal attention	1	1
dorsal medial	1	1
dorsal premotor	1	1
dorsal striatum	1	1
dorsal ventral	1	1
dorsolateral	1	1
dorsolateral pfc	1	1
dorsolateral prefrontal	1	1
dorsomedial	1	1
dorsomedial prefrontal	1	1
extrastriate	1	1
eye field	1	1
eye fields	1	1
face ffa	1	1
fasciculus	1	1
ffa	1	1
frontal	1	1
frontal cortex	1	1
frontal cortices	1	1
frontal eye	1	1
frontal gyri	1	1
frontal gyrus	1	1
frontal lobe	1	1
frontal lobes	1	1
frontal operculum	1	1
frontal parietal	1	1
frontal temporal	1	1
fronto	1	1
fronto parietal	1	1
fronto striatal	1	1
fronto temporal	1	1
frontoparietal	1	1
frontoparietal network	1	1
frontopolar	1	1
frontotemporal	1	1
fusiform	1	1
fusiform face	1	1
fusiform gyri	1	1
fusiform gyrus	1	1
ganglia	1	1
globus	1	1
globus pallidus	1	1
gm	1	1
gm volume	1	1
gyri	1	1
gyrus	1	1
gyrus anterior	1	1
gyrus ba	1	1
gyrus cerebellum	1	1
gyrus ifg	1	1
gyrus inferior	1	1
gyrus insula	1	1
gyrus medial	1	1
gyrus mfg	1	1
gyrus middle	1	1
gyrus posterior	1	1
gyrus precuneus	1	1
gyrus stg	1	1
gyrus superior	1	1
hemisphere	1	1
hemispheres	1	1
hemispheric	1	1
heschl	1	1
heschl gyrus	1	1
hippocampal	1	1
hippocampus	1	1
hypothalamus	1	1
ifg	1	1
inferior	1	1
inferior frontal	1	1
inferior middle	1	1
inferior occipital	1	1
inferior parietal	1	1
inferior prefrontal	1	1
inferior superior	1	1
inferior temporal	1	1
insula	1	1
insula anterior	1	1
insula inferior	1	1
insular	1	1
insular cortex	1	1
interhemispheric	1	1
intraparietal	1	1
intraparietal sulcus	1	1
ipl	1	1
ips	1	1
ipsilateral	1	1
junction	1	1
junction tpj	1	1
lateral	1	1
lateral frontal	1	1
lateral medial	1	1
lateral occipital	1	1
lateral orbitofrontal	1	1
lateral parietal	1	1
lateral prefrontal	1	1
lateral temporal	1	1
lateralization	1	1
lateralized	1	1
limbic	1	1
lingual	1	1
lingual gyrus	1	1
lobe	1	1
lobe mtl	1	1
lobes	1	1
lobule	1	1
lobule ipl	1	1
lobules	1	1
m1	1	1
medial	1	1
medial frontal	1	1
medial lateral	1	1
medial orbitofrontal	1	1
medial pfc	1	1
medial prefrontal	1	1
medial superior	1	1
medial temporal	1	1
mesial	1	1
mesolimbic	1	1
mfg	1	1
midbrain	1	1
middle cingulate	1	1
middle frontal	1	1
middle inferior	1	1
middle occipital	1	1
middle superior	1	1
middle temporal	1	1
midline	1	1
motor cortex	1	1
motor pre	1	1
motor premotor	1	1
motor sma	1	1
mpfc	1	1
mt	1	1
mtg	1	1
mtl	1	1
neocortical	1	1
nuclei	1	1
nucleus	1	1
nucleus accumbens	1	1
occipital	1	1
occipital cortex	1	1
occipital gyrus	1	1
occipital lobe	1	1
occipital parietal	1	1
occipital temporal	1	1
occipito	1	1
occipito temporal	1	1
occipitotemporal	1	1
occipitotemporal cortex	1	1
ofc	1	1
opercular	1	1
opercularis	1	1
operculum	1	1
orbital	1	1
orbitofrontal	1	1
orbitofrontal cortex	1	1
pallidus	1	1
parahippocampal	1	1
parahippocampal cortex	1	1
parahippocampal gyrus	1	1
parahippocampus	1	1
paralimbic	1	1
parietal	1	1
parietal cortex	1	1
parietal cortices	1	1
parietal frontal	1	1
parietal junction	1	1
parietal lobe	1	1
parietal lobes	1	1
parietal lobule	1	1
parietal lobules	1	1
parietal network	1	1
parietal occipital	1	1
parietal temporal	1	1
parieto	1	1
parieto occipital	1	1
pars	1	1
pcc	1	1
periaqueductal	1	1
pfc	1	1
planum	1	1
planum temporale	1	1
pole	1	1
postcentral	1	1
postcentral gyrus	1	1
posterior	1	1
posterior anterior	1	1
posterior cingulate	1	1
posterior inferior	1	1
posterior insula	1	1
posterior middle	1	1
posterior parietal	1	1
posterior superior	1	1
posterior temporal	1	1
ppc	1	1
pre sma	1	1
pre supplementary	1	1
precentral gyrus	1	1
precuneus	1	1
precuneus posterior	1	1
prefrontal	1	1
prefrontal cortex	1	1
prefrontal cortical	1	1
prefrontal cortices	1	1
prefrontal parietal	1	1
premotor	1	1
premotor cortex	1	1
primary	1	1
primary auditory	1	1
primary motor	1	1
primary secondary	1	1
primary sensorimotor	1	1
primary somatosensory	1	1
primary visual	1	1
psts	1	1
putamen	1	1
retrosplenial	1	1
retrosplenial cortex	1	1
rostral	1	1
rostral anterior	1	1
s1	1	1
secondary somatosensory	1	1
sensorimotor	1	1
sensorimotor cortex	1	1
sensorimotor network	1	1
sensory motor	1	1
si	1	1
sii	1	1
sn	1	1
somatosensory	1	1
somatosensory cortex	1	1
somatosensory cortices	1	1
spl	1	1
striatal	1	1
striatum	1	1
sts	1	1
subcortical	1	1
subcortical structures	1	1
subgenual	1	1
substantia	1	1
sulci	1	1
sulcus	1	1
sulcus ips	1	1
sulcus sts	1	1
superior	1	1
superior inferior	1	1
superior middle	1	1
superior parietal	1	1
superior temporal	1	1
supplementary	1	1
supplementary motor	1	1
supramarginal	1	1
supramarginal gyrus	1	1
tegmental	1	1
temporal	1	1
temporal cortex	1	1
temporal cortices	1	1
temporal frontal	1	1
temporal gyri	1	1
temporal gyrus	1	1
temporal inferior	1	1
temporal lobe	1	1
temporal lobes	1	1
temporal occipital	1	1
temporal parietal	1	1
temporal pole	1	1
temporal sulcus	1	1
temporale	1	1
temporo	1	1
temporo parietal	1	1
temporoparietal	1	1
temporoparietal junction	1	1
thalamic	1	1
thalamus	1	1
tpj	1	1
v1	1	1
v5	1	1
ventral	1	1
ventral anterior	1	1
ventral dorsal	1	1
ventral medial	1	1
ventral premotor	1	1
ventral striatum	1	1
ventral tegmental	1	1
ventral visual	1	1
ventrolateral	1	1
ventrolateral prefrontal	1	1
ventromedial	1	1
ventromedial prefrontal	1	1
vi	1	1
visual cortex	1	1
visual cortices	1	1
vlpfc	1	1
vmpfc	1	1
vs	1	1
1	0	
1	0	
5	0	
10	0	
11	0	
12	0	
13	0	
14	0	
15	0	
16	0	
17	0	
18	0	
19	0	
20	0	
21	0	
22	0	
23	0	
24	0	
25	0	
26	0	
27	0	
28	0	
29	0	
30	0	
31	0	
32	0	
33	0	
34	0	
35	0	
36	0	
37	0	
38	0	
39	0	
40	0	
41	0	
42	0	
43	0	
44	0	
45	0	
46	0	
47	0	
48	0	
49	0	
50	0	
60	0	
70	0	
75	0	
80	0	
90	0	
100	0	
200	0	
2014	0	
12 healthy	0	
14 healthy	0	
15 healthy	0	
16 healthy	0	
18 healthy	0	
20 healthy	0	
3d	0	
3t	0	
aberrant	0	
able	0	
abnormal	0	
abnormalities	0	
abnormality	0	
absence	0	
absent	0	
access		
accompanied		
accordance		
according		
accordingly		
account		
accounted		
accounts		
achieve		
achieved		
acquired		
acquisition		
activate		
activates		
activations		
active		
actively		
activities		
actual		
actually		
acute		
adapted		
adaptive		
additional		
additionally		
addressed		
adjacent		
administered		
administration		
adopted		
advance		
advanced		
advances		
advantage		
affected		
affecting		
affects		
age controls		
age gender		
age groups		
age healthy		
age sex		
aged		
ages		
agreement		
aim		
aimed		
aims		
algorithm		
allele		
allocation		
allow		
allowed		
allowing		
allows		
alter		
alteration		
alterations		
altered		
alternating		
alternative		
alters		
amplitude		
amplitude low		
amplitudes		
analysed		
analyses		
analyze		
analyzed		
analyzed using		
analyzing		
anatomical		
anatomically		
anatomy		
anisotropy		
anisotropy fa		
anti		
apart		
apparent		
appear		
appeared		
appears		
application		
applied		
apply		
applying		
approaches		
appropriate		
approximately		
architecture		
argue		
arise		
asked		
aspect		
aspects		
assess		
assessed		
assessed using		
assessing		
assessment		
assessments		
assigned		
assume		
assumed		
assumption		
attempt		
attempted		
attenuated		
attributed		
attributes		
attribution		
atypical		
automated		
automatic		
automatically		
available		
average		
away		
axis		
background		
band		
bands		
bases		
basic		
basis		
bayesian		
beginning		
behavioral evidence		
behavioral level		
behaviorally		
behaviour		
behavioural		
believed		
beneficial		
benefit		
benefits		
best		
better		
better understanding		
biased		
biases		
biological		
block		
block design		
blocked		
blocks		
blood		
blood flow		
blood oxygen		
blood oxygenation		
bold		
bold response		
bold responses		
bold signal		
bold signals		
brief		
broad		
broader		
brodmann ba		
calculated		
called		
candidate		
canonical		
carried		
carriers		
case		
cases		
causal		
causal modeling		
causality		
cause		
caused		
causes		
center		
centered		
central		
central role		
cerebral blood		
certain		
challenge		
challenges		
challenging		
change		
changed		
changing		
characteristic		
characteristics		
characterization		
characterize		
characterized		
characterizing		
children adolescents		
circuit		
circuitry		
circuits		
clarify		
class		
classic		
classification		
classified		
clear		
clearly		
clinical		
clinically		
clips		
close		
closed		
closely		
cluster		
clustering		
clusters		
code		
coding		
cognitive neuroscience		
coherent		
cohort		
collected		
collectively		
combination		
combinations		
combined		
combining		
common		
commonly		
community		
comparable		
compare		
comparing		
comparisons		
compatible		
complementary		
complete		
completed		
completely		
component		
component ica		
components		
composed		
comprehensive		
comprised		
compromised		
computational		
computed		
concerning		
conclude		
conclusion		
concomitant		
condition		
conditions		
conducted		
confirm		
confirmed		
connected		
connection		
connections		
connectivity amygdala		
connectivity analyses		
connectivity anterior		
connectivity fc		
connectivity networks		
connectivity patterns		
connectivity posterior		
connectivity rsfc		
connectivity using		
consequence		
consequences		
consequently		
consider		
considerable		
considered		
considering		
consisted		
consistently		
consisting		
consists		
constant		
constitute		
constrained		
construct		
constructed		
contain		
contained		
containing		
contains		
content		
contents		
contingent		
continuous		
continuously		
contrary		
contrast		
contrasted		
contrasting		
contrasts		
contribute		
contributed		
contributes		
contributing		
contribution		
contributions		
control condition		
control conditions		
control group		
control groups		
controls hc		
controls hcs		
controls using		
controversial		
conventional		
convergence		
converging		
conversely		
conveyed		
coordinates		
corrected		
correlate		
correlated		
correlated negatively		
correlated positively		
correlates		
correlating		
correlation		
correlation analyses		
correlations		
correspond		
corresponded		
correspondence		
corresponding		
cortical involved		
cortical network		
cortical networks		
cortical subcortical		
cortical thickness		
cost		
costs		
coupled		
coupling		
course		
courses		
covariance		
covaried		
created		
criteria		
critical		
critical role		
critically		
cross		
cross sectional		
crossover		
crucial		
crucial role		
crucially		
crus		
current		
current functional		
currently		
daily		
dataset		
datasets		
date		
day		
days		
deactivated		
deactivation		
deactivations		
debate		
debated		
decreases		
decreasing		
deep		
define		
defined		
degree		
degrees		
delivered		
demonstrate		
demonstrated		
demonstrates		
demonstrating		
density		
depend		
depended		
depending		
depends		
depicting		
derived		
described		
describing		
design		
designed		
designs		
despite		
detailed		
details		
determine		
determined		
determining		
develop		
developed		
developing		
diagnosed		
diagnostic		
did		
did differ		
differ		
differed		
difference		
differential		
differentially		
differentiate		
differentiated		
differentiation		
differently		
differing		
differs		
difficulties		
diffusion		
diffusion tensor		
diminished		
direct		
direct evidence		
directed		
direction		
directions		
directly		
discrete		
discuss		
discussed		
discussion		
disentangle		
display		
displayed		
displays		
